amount,is_mal_ip,is_mal_device,odd_time,txn_count_24h,label,user_age_days,failed_attempts,location_change,avg_txn_amount,is_international
1020.877811046246,0,0,0,1,0,193,0,0,789.62,0
1209.573888707876,0,0,0,2,0,228,0,0,466.44,0
888.864888553002,0,0,0,3,0,76,1,0,558.76,0
1210.443244147981,1,0,0,2,0,345,0,0,576.54,0
2007.791411774116,0,0,0,1,0,206,1,0,2692.29,0
1142.6317792665504,0,0,0,2,0,72,0,1,1479.51,0
1052.8787471817711,0,0,0,2,0,299,1,0,1155.7,0
2041.9638457289343,0,0,1,4,0,109,1,0,1609.77,1
1210.6357883680307,0,0,0,3,0,359,1,0,1567.79,0
255.22963452723445,0,0,0,0,0,210,0,0,1054.38,0
1801.2882526126136,0,0,0,1,0,34,1,0,773.14,0
1150.4528498793654,0,0,0,1,0,239,1,0,724.13,0
5202.165454400649,1,0,0,3,1,12,5,0,3273.12,1
1545.8092875606942,0,1,0,5,0,77,0,0,1412.19,0
1575.2895837608828,0,0,0,2,0,92,0,0,2662.58,0
5757.394182679555,1,1,1,2,1,32,5,0,3377.03,0
1445.7063781777636,0,0,0,0,0,126,1,0,1802.52,0
973.0542919234358,0,0,0,2,0,201,1,0,2914.13,0
1493.6312067320882,0,0,1,3,0,171,0,0,1784.69,0
1085.4594845391453,0,0,0,0,0,34,0,0,1830.31,0
773.3002629804444,0,0,0,2,0,298,1,0,1313.25,1
636.2519505234807,0,0,0,0,0,346,0,0,2258.14,1
2362.336652926409,0,0,0,1,0,37,0,0,1495.7,0
5541.386142927411,1,1,0,9,1,46,3,0,7660.81,0
884.1742377431781,0,0,0,1,0,262,1,0,1661.38,1
2337.912713823818,0,0,0,3,0,115,0,0,1766.18,0
1917.154834676038,0,0,0,2,0,41,1,0,2520.09,1
1371.8939407749426,0,0,0,1,0,81,0,0,1535.76,0
1584.5158277211376,0,0,0,5,0,164,0,1,1108.07,1
1798.623461822614,1,0,0,0,0,235,1,0,1851.89,0
1649.334580169587,0,0,0,5,0,356,1,0,2803.82,1
1982.3218279070031,0,0,0,2,0,246,0,0,2189.21,0
2196.0183179796545,0,0,0,1,0,229,0,0,1267.76,0
